red_StrikesLandedPerMin,red_StrikesAbsorbedPerMin,red_TakedownsPer15Min,red_OpponentTakedownsPer15Min,red_SubmissionsPer15Min,red_ControlPer15Min,red_StrikingAccuracyPct,red_StrikeDefencePct,red_TakedownAccuracyPct,red_TakedownDefencePct,blue_StrikesLandedPerMin,blue_StrikesAbsorbedPerMin,blue_TakedownsPer15Min,blue_OpponentTakedownsPer15Min,blue_SubmissionsPer15Min,blue_ControlPer15Min,blue_StrikingAccuracyPct,blue_StrikeDefencePct,blue_TakedownAccuracyPct,blue_TakedownDefencePct,red_Height,red_Weight,red_Reach,blue_Height,blue_Weight,blue_Reach,red_Elo,blue_Elo,red_Age,blue_Age,red_Stance_Nan,red_Stance_Open Stance,red_Stance_Orthodox,red_Stance_Sideways,red_Stance_Southpaw,red_Stance_Switch,blue_Stance_Nan,blue_Stance_Open Stance,blue_Stance_Orthodox,blue_Stance_Sideways,blue_Stance_Southpaw,blue_Stance_Switch
3.04,3.53,2.25,2.01,1.77,198.03,44.2,51.93,40.43,29.17,3.76,3.85,2.1,2.1,0.0,210.3,48.86,50.08,27.91,66.67,73.0,185.0,77.0,72.0,185.0,74.0,1097.26,1115.35,34.0,33.0,False,False,False,False,True,False,False,False,True,False,False,False
2.94,2.32,3.77,0.26,1.3,574.34,51.91,45.95,35.37,33.33,6.23,3.76,1.14,1.14,0.28,136.62,52.5,62.33,39.22,71.83,70.0,155.0,72.0,70.0,155.0,71.0,1361.04,1177.08,29.0,37.0,False,False,False,False,False,True,False,False,True,False,False,False
4.2,3.83,0.5,2.5,0.5,35.5,53.16,46.01,16.67,37.5,4.68,3.98,1.01,1.01,0.4,236.85,51.63,60.85,55.56,73.68,68.0,135.0,70.0,65.0,135.0,64.0,999.06,1013.12,26.0,33.0,False,False,True,False,False,False,False,False,True,False,False,False
5.54,3.39,0.66,1.8,0.0,66.33,56.58,54.72,70.0,75.0,7.19,2.37,2.73,0.0,1.37,234.9,65.29,70.11,100.0,100.0,79.0,250.0,80.0,77.0,256.0,78.0,1325.37,1222.84,33.0,28.0,False,False,True,False,False,False,False,False,True,False,False,False
3.76,4.06,0.0,0.83,0.0,9.37,36.03,53.96,0.0,57.14,3.57,2.92,0.0,0.0,0.0,0.0,33.33,18.18,0.0,100.0,67.0,135.0,70.0,68.0,135.0,69.0,923.85,931.53,30.0,25.0,False,False,True,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1.74,1.83,3.9,0.62,2.05,554.57,37.46,57.59,42.22,40.0,69.0,170.0,70.0,68.0,155.0,75.0,1000.0,1137.7,27.0,29.0,False,False,False,False,True,False,False,False,True,False,False,False
2.86,4.5,1.14,0.45,1.36,243.29,47.73,50.0,55.56,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,71.0,170.0,72.0,70.0,170.0,72.0,1101.7,1000.0,26.0,28.0,False,False,True,False,False,False,False,False,True,False,False,False
2.65,1.42,2.69,0.77,0.38,328.2,39.13,71.32,53.85,0.0,5.6,4.82,1.33,1.0,0.33,246.0,49.61,53.13,19.05,80.0,70.0,145.0,73.0,72.0,155.0,70.0,1215.23,1081.03,29.0,28.0,False,False,True,False,False,False,False,False,False,False,True,False
4.02,4.07,0.76,3.06,0.0,76.4,36.24,57.67,25.0,77.78,4.12,3.09,1.99,0.6,0.2,149.77,44.75,66.03,34.48,80.0,71.0,145.0,71.0,68.0,145.0,71.0,1011.76,1043.83,28.0,31.0,False,False,True,False,False,False,False,False,True,False,False,False
3.16,2.91,1.14,1.3,0.32,107.08,52.9,55.54,41.18,74.19,3.72,1.33,1.13,0.85,0.42,224.96,50.06,69.66,57.14,81.25,72.0,185.0,79.0,74.0,185.0,76.0,1089.26,1216.43,31.0,30.0,False,False,True,False,False,False,False,False,True,False,False,False
5.71,5.25,0.54,1.15,0.12,101.57,50.09,63.03,34.62,77.38,6.32,5.38,1.95,0.0,0.49,191.19,63.73,46.1,100.0,100.0,63.0,115.0,64.0,64.0,115.0,65.0,1000.3,1183.73,36.0,34.0,False,False,True,False,False,False,False,False,False,False,True,False
3.88,3.9,1.14,1.14,0.0,198.2,39.34,63.15,35.71,67.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,65.0,125.0,67.0,64.0,125.0,65.0,1125.79,1000.0,37.0,29.0,False,False,True,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1.15,1.01,4.12,2.06,0.69,529.01,59.52,60.71,46.15,25.0,71.0,155.0,72.0,69.0,145.0,69.0,1000.0,937.36,25.0,32.0,False,False,True,False,False,False,False,False,True,False,False,False
5.16,2.21,3.08,1.93,1.54,587.79,60.91,39.86,44.44,61.54,2.88,3.8,2.11,5.28,1.06,100.23,39.05,51.79,50.0,28.57,64.0,115.0,65.0,65.0,115.0,65.0,1155.32,1009.59,21.0,23.0,False,False,True,False,False,False,False,False,True,False,False,False
1.87,4.6,4.0,1.0,0.5,309.5,33.53,42.98,30.77,66.67,4.12,3.69,0.0,2.41,0.8,38.54,47.83,45.24,0.0,57.14,72.0,155.0,74.0,71.0,155.0,74.0,885.6,1067.12,26.0,34.0,False,False,True,False,False,False,False,False,True,False,False,False
1.35,2.19,1.84,0.49,0.74,250.51,37.5,65.46,37.5,85.19,3.74,2.68,0.99,1.8,0.45,97.1,37.63,66.34,39.29,69.23,65.0,125.0,67.0,66.0,125.0,69.0,1199.7,1265.17,33.0,25.0,False,False,True,False,False,False,False,False,True,False,False,False
2.73,2.63,3.33,0.95,0.0,267.24,40.26,53.89,43.75,67.74,3.44,3.68,0.0,2.38,1.19,7.55,44.22,49.27,0.0,0.0,70.0,155.0,73.0,75.0,155.0,77.0,1007.75,1135.75,30.0,30.0,False,False,True,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.93,0.31,0.0,4.66,13.99,368.39,60.0,85.71,0.0,0.0,,125.0,,,125.0,,1000.0,1052.38,24.0,28.0,True,False,False,False,False,False,True,False,False,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,2.1,1.99,1.27,1.9,1.27,209.92,42.94,61.58,66.67,83.33,69.0,145.0,71.0,69.0,155.0,,1000.0,1131.64,21.0,30.0,False,False,True,False,False,False,False,False,True,False,False,False
2.72,2.69,2.56,0.7,0.0,293.32,40.7,48.51,39.29,86.36,4.68,2.9,3.0,0.25,0.0,260.5,48.03,68.65,42.86,75.0,73.0,185.0,74.0,72.0,185.0,73.0,1123.4,1006.59,25.0,32.0,False,False,True,False,False,False,False,False,False,False,True,False
,,,,,,,,,,,,,,,,,,,,72.0,170.0,75.0,73.0,170.0,,1000.0,1000.0,29.0,31.0,False,False,True,False,False,False,False,False,True,False,False,False
