Name,StrikesLandedPerMin,StrikesAbsorbedPerMin,TakedownsPer15Min,OpponentTakedownsPer15Min,SubmissionsPer15Min,ControlPer15Min,StrikingAccuracyPct,StrikeDefencePct,TakedownAccuracyPct,TakedownDefencePct,Elo,DOB,Height,Weight,Reach,Stance
Scott Morris,1.2,15.6,18.0,0.0,18.0,0.0,100.0,38.1,50.0,100.0,1000.0,,70.0,210.0,,Orthodox
Sean Daugherty,0.0,3.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,942.0,1975-12-04,72.0,175.0,,Nan
Patrick Smith,5.2,1.8,6.0,3.0,9.0,0.0,65.0,35.71,66.67,75.0,1154.19,1963-08-28,74.0,225.0,,Orthodox
Ray Wizard,1.03,1.03,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,942.0,,,,,Nan
Johnny Rhodes,1.7,0.79,0.91,0.0,0.91,0.0,50.91,45.83,100.0,100.0,1050.01,,72.0,210.0,,Orthodox
David Levicki,0.33,0.9,0.0,1.23,0.0,0.0,80.0,35.29,0.0,0.0,942.0,,77.0,275.0,,Nan
Frank Hamaker,0.41,0.0,3.08,0.0,9.25,0.0,66.67,100.0,100.0,100.0,1058.0,,,,,Nan
Thaddeus Luster,0.0,0.41,0.0,3.08,0.0,0.0,0.0,33.33,0.0,0.0,942.0,,75.0,210.0,,Nan
Orlando Wiet,2.08,2.08,0.0,6.95,0.0,0.0,64.29,30.77,0.0,0.0,1000.0,,70.0,170.0,,Southpaw
Robert Lucarelli,0.71,2.82,5.29,0.0,5.29,0.0,33.33,33.33,100.0,100.0,942.0,,74.0,245.0,,Nan
Remco Pardoel,0.46,0.21,2.11,0.53,2.11,0.0,76.47,50.0,100.0,50.0,1038.82,,75.0,260.0,,Southpaw
Alberta Cerra Leon,0.1,0.41,0.0,1.52,0.0,0.0,33.33,33.33,0.0,0.0,942.0,,68.0,238.0,,Nan
